Waterbody Name,Waterbody ID Code (WBIC),Invasive Species
Lake Superior,2751220,"Asiatic Clam (Corbicula), Eurasian Water-Milfoil, Faucet Snail, Purple Loosestrife, Quagga Mussel, Rainbow Smelt, Round Goby, Yellow Iris, Zebra Mussel"
Lower Eau Claire Lake,2741600,"Banded Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife, Rusty Crayfish"
Middle River,2858800,Rusty Crayfish
Minnesuing Creek,2866100,"Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife, Rusty Crayfish, Yellow Iris"
Minong Flowage,2692900,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Purple Loosestrife"
Mud Lake,3000116,Zebra Mussel
Nebagamon Creek,2864200,Yellow Iris
Newton Creek,2843650,Round Goby
Park Creek,2747800,Yellow Iris
Park Creek Pond,2748000,Yellow Iris
Person Lake,2488600,Chinese Mystery Snail
Pokegama River,2844000,"Purple Loosestrife, Yellow Iris"
Red Lake,2492100,Eurasian Water-Milfoil
Red River,2845800,Purple Loosestrife
Saint Croix River,2601400,"Japanese Mystery Snail, Purple Loosestrife, Yellow Iris"
Saint Louis River,2843800,"Asiatic Clam (Corbicula), Curly-Leaf Pondweed, Faucet Snail, New Zealand Mudsnail, Phragmites (non-native), Purple Loosestrife, Zebra Mussel"
Sauntrys Pocket Lake,2495600,Chinese Mystery Snail
Simms Lake,2497100,Rusty Crayfish
Spirit Lake,4000004,Purple Loosestrife
St Croix Flowage ,2740300,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Purple Loosestrife"
Totagatic River,2689800,Purple Loosestrife
Unnamed,2748100,Rusty Crayfish
Unnamed,2748200,Yellow Iris
Unnamed,2846800,Asiatic Clam (Corbicula)
Unnamed,2858200,"Curly-Leaf Pondweed, Ornamental water lilies (non-native Nymphaea sp.), Yellow Iris"
Unnamed,5000525,Asiatic Clam (Corbicula)
Unnamed,5000550,Purple Loosestrife
Unnamed,5000794,Zebra Mussel
Unnamed,5500350,Asiatic Clam (Corbicula)
Unnamed,5582588,Round Goby
Upper Saint Croix Lake,2747300,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife, Rusty Crayfish, Yellow Iris"
Whitefish Lake,2694000,"Chinese Mystery Snail, Eurasian Water-Milfoil, Rainbow Smelt"
Dunn County (24),,
Chippewa River,2050000,"Eurasian Water-Milfoil, Purple Loosestrife, Rusty Crayfish"
Eau Galle River,2055000,Zebra Mussel
Elk Creek,2120800,"Chinese Mystery Snail, Japanese knotweed (Fallopia japonica), Yellow Iris"
Elk Creek Lake*,2121000,"Chinese Mystery Snail, Curly-Leaf Pondweed, Japanese knotweed (Fallopia japonica), Yellow Iris"
Lake Eau Galle,2056600,"Curly-Leaf Pondweed, Eurasian Water-Milfoil, Zebra Mussel"
Lake Menomin,2065900,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Zebra Mussel"
Meridean Slu,2118200,Purple Loosestrife
Red Cedar River,2063500,"Chinese Mystery Snail, Rusty Crayfish, Zebra Mussel"
South Fork Hay River,2070100,"Curly-Leaf Pondweed, Rusty Crayfish"
South Fork Trout Creek,2084300,Rusty Crayfish
Tainter Lake,2068000,"Chinese Mystery Snail, Curly-Leaf Pondweed, Japanese knotweed (Fallopia japonica), Zebra Mussel"
Trout Creek,2084000,"Curly-Leaf Pondweed, Rusty Crayfish"
Unnamed,2084100,"Curly-Leaf Pondweed, Rusty Crayfish"
Unnamed,2120600,"Eurasian Water-Milfoil, Rusty Crayfish"
Unnamed,5008678,"Curly-Leaf Pondweed, Rusty Crayfish"
Unnamed,5008680,"Curly-Leaf Pondweed, Rusty Crayfish"
Unnamed,5008698,"Curly-Leaf Pondweed, Rusty Crayfish"
Unnamed,5008747,"Curly-Leaf Pondweed, Rusty Crayfish"
Unnamed,5008832,"Curly-Leaf Pondweed, Rusty Crayfish"
Unnamed,5009027,"Curly-Leaf Pondweed, Rusty Crayfish"
Unnamed,5009105,"Curly-Leaf Pondweed, Rusty Crayfish"
Unnamed,5009182,"Curly-Leaf Pondweed, Rusty Crayfish"
Unnamed,5530685,"Curly-Leaf Pondweed, Rusty Crayfish"
Unnamed,5535902,"Chinese Mystery Snail, Curly-Leaf Pondweed, Zebra Mussel"
Eau Claire County (16),,
Altoona Lake,2128100,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Chippewa River,2050000,"Chinese Mystery Snail, Eurasian Water-Milfoil, Japanese knotweed (Fallopia japonica), Purple Loosestrife, Rusty Crayfish"
Coon Fk Creek,2135100,Curly-Leaf Pondweed
Coon Fork Flowage,2135600,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Dells Pond,2149900,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Rusty Crayfish"
Eau Claire Lake,2133200,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Eau Claire River,2125600,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Elk Creek,2120800,"Chinese Mystery Snail, Japanese knotweed (Fallopia japonica), Yellow Iris"
Elk Creek Lake*,2121000,"Chinese Mystery Snail, Curly-Leaf Pondweed, Japanese knotweed (Fallopia japonica), Yellow Iris"
Fairchild Pond,2136200,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Fall Creek Pond,2130100,Chinese Mystery Snail
Halfmoon Lake,2125400,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Yellow Iris"
Little Niagara Creek,2125500,Rusty Crayfish
Otter Creek,2125700,Japanese Hops
Schoolhouse Creek,2135900,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Unnamed,2120600,"Eurasian Water-Milfoil, Rusty Crayfish"
Florence County (56),,
Barrens Lake,602400,"Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil"
Bass Lake,652500,Banded Mystery Snail
Bass Lake,702700,"Banded Mystery Snail, Rusty Crayfish, Zebra Mussel"
Bass Lake ,584200,"Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil"
Big Quinnesec Falls Flowage,647500,Spiny Waterflea
Brule River,703900,Rusty Crayfish
Brule River Flowage ,704400,Eurasian Water-Milfoil
Chalk Hill Flowage ,634500,Spiny Waterflea
Cosgrove Lake,585100,Purple Loosestrife
East Lake,702400,"Banded Mystery Snail, Zebra Mussel"
Ellwood Lake,650500,"Banded Mystery Snail, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil, Rusty Crayfish, Zebra Mussel"
Emily Lake,651600,"Chinese Mystery Snail, Purple Loosestrife, Rusty Crayfish, Zebra Mussel"
Fay Lake,677100,"Banded Mystery Snail, Chinese Mystery Snail"
Fischer Lake,642100,Rusty Crayfish
Frog Lake,585700,"Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil"
Grand Rapids Flowage ,610700,Spiny Waterflea
Keyes Lake,672900,"Chinese Mystery Snail, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil, Rainbow Smelt, Zebra Mussel"
Kingsford Flowage Wi-Mi (491),650200,"Banded Mystery Snail, Eurasian Water-Milfoil, Rusty Crayfish, Spiny Waterflea"
Lake of Dreams,679900,Purple Loosestrife
Lilly Lake,702900,"Banded Mystery Snail, Zebra Mussel"
Little Popple River,648000,Rusty Crayfish
Little Quinnesec Falls Flowage,647300,Spiny Waterflea
Long Lake,677400,"Banded Mystery Snail, Chinese Mystery Snail, Purple Loosestrife, Rusty Crayfish"
Long Lake,702500,"Banded Mystery Snail, Chinese Mystery Snail, Eurasian Water-Milfoil, Rusty Crayfish, Zebra Mussel"
Loon Lake,672700,Zebra Mussel
Menominee River,609000,"Eurasian Water-Milfoil, Rusty Crayfish, Spiny Waterflea"
Menominee River -West Channel,634700,Spiny Waterflea
Middle Lake,702600,"Banded Mystery Snail, Eurasian Water-Milfoil, Ornamental water lilies (non-native Nymphaea sp.), Rusty Crayfish, Zebra Mussel"
Montgomery Lake,703300,Purple Loosestrife
Morgan Creek,666200,Rusty Crayfish
Mud Lake,659000,Purple Loosestrife
North Lake,703000,"Banded Mystery Snail, Eurasian Water-Milfoil, Ornamental water lilies (non-native Nymphaea sp.), Rusty Crayfish, Zebra Mussel"
Patten Lake,653700,"Chinese Mystery Snail, Rusty Crayfish"
Pine River,650300,"Hybrid Eurasian / Northern Water-Milfoil, Rusty Crayfish"
Pine River Flowage,651300,"Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil, Rusty Crayfish, Zebra Mussel"
Popple River,652900,Rusty Crayfish
Porcupine Lake,590800,Purple Loosestrife
Railroad Lake,702800,"Banded Mystery Snail, Rusty Crayfish, Zebra Mussel"
Reisner Lake,676700,Purple Loosestrife
Rosebush Lake,634300,Spiny Waterflea
Scott Flowage,609200,Spiny Waterflea
Sea Lion Lake,672300,"Banded Mystery Snail, Chinese Mystery Snail, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil, Zebra Mussel"
Seidel Lake,672000,"Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil"
South Branch Little Popple River,648600,Rusty Crayfish
South Branch Popple River,660500,Rusty Crayfish
South Lake,702200,Banded Mystery Snail
Spread Eagle Outlet,702000,"Eurasian Water-Milfoil, Ornamental water lilies (non-native Nymphaea sp.), Zebra Mussel"
Stevens Creek,681200,"Banded Mystery Snail, Rusty Crayfish"
Sturgeon Falls Flowage,646900,Spiny Waterflea
Twin Falls Flowage,701900,"Chinese Mystery Snail, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil, Rusty Crayfish, Spiny Waterflea"
Unnamed,672600,Zebra Mussel
Unnamed,5003659,Hybrid Eurasian / Northern Water-Milfoil
Upper Scott Flowage 4060,609400,Spiny Waterflea
West Bass Lake,652200,Banded Mystery Snail
West Lake,703500,"Banded Mystery Snail, Rusty Crayfish, Zebra Mussel"
Woods Creek,653300,Rusty Crayfish
Fond du Lac County (74),,
Auburn Lake,42400,"Curly-Leaf Pondweed, Eurasian Water-Milfoil, Rusty Crayfish, Zebra Mussel"
Auburn Lake Creek,41600,"Eurasian Water-Milfoil, Rusty Crayfish"
Barton Pond,35400,Eurasian Water-Milfoil
Bernice Lake,40900,Eurasian Water-Milfoil
Campbellsport Millpond,43300,Eurasian Water-Milfoil
Crooked Lake,37900,"Curly-Leaf Pondweed, Eurasian Water-Milfoil, Phragmites (non-native)"
De Neveu Creek,138700,"Eurasian Water-Milfoil, Faucet Snail, Purple Loosestrife, Zebra Mussel"
DeNeveu Lake,139300,"Eurasian Water-Milfoil, Purple Loosestrife, Zebra Mussel"
East Branch Fond Du Lac River,135900,"Rusty Crayfish, Zebra Mussel"
East Branch Milwaukee River,36900,Rusty Crayfish
Eldorado Marsh,134400,Rusty Crayfish
Fond Du Lac River,133700,"Chinese Mystery Snail, Eurasian Water-Milfoil, Faucet Snail, Rusty Crayfish, Zebra Mussel"
Forest Lake,8900,"Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil"
Fox River,117900,"Asiatic Clam (Corbicula), Chinese Mystery Snail, Curly-Leaf Pondweed, Faucet Snail, Hybrid Eurasian / Northern Water-Milfoil, Phragmites (non-native), Rusty Crayfish, Spiny Waterflea"
Green Lake,146100,Rusty Crayfish
Kettle Moraine Lake,43900,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Zebra Mussel"
Lake Winnebago,131100,"Asiatic Clam (Corbicula), Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Faucet Snail, Hybrid Eurasian / Northern Water-Milfoil, Phragmites (non-native), Rusty Crayfish, Spiny Waterflea, Zebra Mussel"
Long Lake,38700,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil, Purple Loosestrife, Zebra Mussel"
Mauthe Lake,38200,"Curly-Leaf Pondweed, Eurasian Water-Milfoil, Zebra Mussel"
Milwaukee River,15000,Eurasian Water-Milfoil
Mud Lake,43700,Phragmites (non-native)
Mullet River,53400,Rusty Crayfish
Newburg Pond,34300,Eurasian Water-Milfoil
Parsons Creek,136000,Rusty Crayfish
Rush Lake,141400,"Curly-Leaf Pondweed, Spiny Naiad"
Sheboygan River,50700,Eurasian Water-Milfoil
Silver Creek,146800,Rusty Crayfish
South Branch Manitowoc River,77900,Rusty Crayfish
South Branch Rock River,869800,"Purple Loosestrife, Rusty Crayfish"
Supple Marsh,133600,"Curly-Leaf Pondweed, Eurasian Water-Milfoil, Faucet Snail, Zebra Mussel"
Taycheedah Creek,138400,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Faucet Snail, Rusty Crayfish, Zebra Mussel"
Tittle Lake,38900,Chinese Mystery Snail
Unnamed,37300,Phragmites (non-native)
Unnamed,133800,"Eurasian Water-Milfoil, Faucet Snail, Zebra Mussel"
Unnamed,133900,"Eurasian Water-Milfoil, Faucet Snail"
Unnamed,134100,Rusty Crayfish
Unnamed,134200,Rusty Crayfish
Unnamed,138800,"Faucet Snail, Zebra Mussel"
Unnamed,139100,Zebra Mussel
Unnamed,147400,Rusty Crayfish
Unnamed,870400,Rusty Crayfish
Unnamed,3000188,"Eurasian Water-Milfoil, Faucet Snail"
Unnamed,3000540,Zebra Mussel
Unnamed,5026899,"Faucet Snail, Rusty Crayfish"
Unnamed,5026949,Rusty Crayfish
Unnamed,5026964,Rusty Crayfish
Unnamed,5027026,Rusty Crayfish
Unnamed,5027113,"Faucet Snail, Rusty Crayfish"
Unnamed,5027158,Rusty Crayfish
Unnamed,5027169,Rusty Crayfish
Unnamed,5027247,"Faucet Snail, Rusty Crayfish"
Unnamed,5027296,Rusty Crayfish
Unnamed,5027449,Rusty Crayfish
Unnamed,5027480,Rusty Crayfish
Unnamed,5027486,"Faucet Snail, Rusty Crayfish"
Unnamed,5027499,Rusty Crayfish
Unnamed,5027519,Rusty Crayfish
Unnamed,5027565,Rusty Crayfish
Unnamed,5561389,Rusty Crayfish
Unnamed,5562122,Rusty Crayfish
Unnamed,5562204,Rusty Crayfish
Unnamed,5562315,"Eurasian Water-Milfoil, Faucet Snail, Phragmites (non-native), Zebra Mussel"
Unnamed,5562445,"Banded Mystery Snail, Chinese Mystery Snail, Eurasian Water-Milfoil, Faucet Snail, Zebra Mussel"
Unnamed,5562446,"Eurasian Water-Milfoil, Faucet Snail, Zebra Mussel"
Unnamed,5562592,Rusty Crayfish
Unnamed,5562596,Rusty Crayfish
Unnamed,5562728,Rusty Crayfish
Unnamed,5565295,Eurasian Water-Milfoil
Unnamed,5565316,Eurasian Water-Milfoil
Unnamed,5569225,Eurasian Water-Milfoil
West Branch Fond Du Lac River,134000,Rusty Crayfish
West Branch Milwaukee River,40400,"Eurasian Water-Milfoil, Rusty Crayfish"
West Branch Rock River,861300,Curly-Leaf Pondweed
Wolf Lake,60800,"Curly-Leaf Pondweed, Eurasian Water-Milfoil"
Forest County (50),,
Arbutus Lake,181400,"Banded Mystery Snail, Chinese Mystery Snail, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil"
Bear Lake,552100,Rusty Crayfish
Birch Lake,555500,Rusty Crayfish
Bishop Lake,392100,"Banded Mystery Snail, Chinese Mystery Snail"
Brule Creek,713200,Rusty Crayfish
Brule Lake,720900,Rusty Crayfish
Brule River,703900,Rusty Crayfish
Butternut Lake,692400,"Banded Mystery Snail, Chinese Mystery Snail, Rusty Crayfish, Spiny Waterflea"
Crane Lake,388500,"Banded Mystery Snail, Chinese Mystery Snail, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil, Purple Loosestrife"
Forest Lake,659200,Banded Mystery Snail
Franklin Lake,692900,"Banded Mystery Snail, Chinese Mystery Snail, Rusty Crayfish"
Hilbert Lake,501200,"Phragmites (non-native), Rusty Crayfish"
Hiles Millpond,408000,Purple Loosestrife
Julia Lake,1614300,"Banded Mystery Snail, Chinese Mystery Snail, Rusty Crayfish"
Jungle Lake,377900,Banded Mystery Snail
Kentuck Lake,716800,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Purple Loosestrife, Rusty Crayfish"
Lake Gordon,501800,Yellow Iris
Lake Lucerne,396500,"Banded Mystery Snail, Eurasian Water-Milfoil, Phragmites (non-native), Rainbow Smelt, Rusty Crayfish"
Lily Lake,376900,"Banded Mystery Snail, Rusty Crayfish"
Lily River,370900,"Banded Mystery Snail, Rusty Crayfish"
Little Long Lake,190500,"Chinese Mystery Snail, Phragmites (non-native), Purple Loosestrife"
Little Rice Lake,406400,Chinese Mystery Snail
Long Lake,677400,"Banded Mystery Snail, Chinese Mystery Snail, Purple Loosestrife, Rusty Crayfish"
Metonga Lake,394400,"Banded Mystery Snail, Eurasian Water-Milfoil, Rusty Crayfish, Zebra Mussel"
Mole Lake,390600,"Chinese Mystery Snail, Eurasian Water-Milfoil"
North Branch Oconto River,457800,Rusty Crayfish
North Branch Pine River,688900,"Banded Mystery Snail, Chinese Mystery Snail, Spiny Waterflea"
Otter Lake,549400,"Banded Mystery Snail, Chinese Mystery Snail"
Peshtigo Lake,581400,"Banded Mystery Snail, Eurasian Water-Milfoil"
Peshtigo River,515500,Rusty Crayfish
Pickerel Creek,387300,Rusty Crayfish
Pickerel Lake,388100,"Banded Mystery Snail, Chinese Mystery Snail, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil, Rusty Crayfish"
Pine Creek,407600,Banded Mystery Snail
Pine Lake,406900,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil, Rusty Crayfish"
Pine River,650300,Rusty Crayfish
Popple River,652900,Rusty Crayfish
Rat River,550600,Rusty Crayfish
Richardson Lake,479700,"Banded Mystery Snail, Chinese Mystery Snail, Rusty Crayfish"
Riley Lake,557100,Chinese Mystery Snail
Roberts Lake,378400,"Banded Mystery Snail, Chinese Mystery Snail, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil, Rusty Crayfish, Zebra Mussel"
Scattered Rice Lake,555200,Phragmites (non-native)
Sevenmile Lake,1605800,Rusty Crayfish
Silver Lake,555700,"Banded Mystery Snail, Chinese Mystery Snail, Eurasian Water-Milfoil, Rusty Crayfish"
South Branch Popple River,660500,Rusty Crayfish
Stevens Creek,681200,"Banded Mystery Snail, Chinese Mystery Snail, Rusty Crayfish"
Stevens Lake,683000,"Banded Mystery Snail, Chinese Mystery Snail, Rusty Crayfish"
Trump Lake,479300,"Eurasian Water-Milfoil, Rusty Crayfish"
Unnamed,3000411,Chinese Mystery Snail
Upper Ninemile Lake,1608300,Banded Mystery Snail
Wabikon Lake,556900,"Chinese Mystery Snail, Rusty Crayfish"
Grant County (58),,
Bertom Lake,721500,"Eurasian Water-Milfoil, Flowering Rush, Zebra Mussel"
Big Green River,1203900,"Curly-Leaf Pondweed, Golden Creeper"
Blake Fk,962000,Curly-Leaf Pondweed
Coalpit Slough,721700,Zebra Mussel
Crooked Creek,1205600,"Curly-Leaf Pondweed, New Zealand Mudsnail"
Dry Hollow Creek,1204100,Golden Creeper
Grant River,956000,"Curly-Leaf Pondweed, Japanese Hops, Japanese knotweed (Fallopia japonica)"
Jones Slough,1210900,Eurasian Water-Milfoil
Lane Creek,1180600,Curly-Leaf Pondweed
Little Platte River,943800,Japanese Hops
McCartney Branch,964600,Curly-Leaf Pondweed
Menominee River,941700,Curly-Leaf Pondweed
Mississippi River ,721000,"Chinese Mystery Snail, Eurasian Water-Milfoil, Purple Loosestrife, Western Mosquitofish, Zebra Mussel"
O&#39;Leary Lake,721200,Zebra Mussel
Platte River,943600,"Japanese Hops, Western Mosquitofish"
Pleasant Valley Creek,1211400,Japanese Hops
Postel Slough,1214700,Curly-Leaf Pondweed
Sanders Creek,1205800,"Curly-Leaf Pondweed, Japanese Hops"
Sinnipee Creek,943200,Western Mosquitofish
Sinsinawa River,940200,Curly-Leaf Pondweed
Unnamed,941100,Curly-Leaf Pondweed
Unnamed,947000,Japanese Hops
Unnamed,960800,Curly-Leaf Pondweed
Unnamed,962200,Curly-Leaf Pondweed
Unnamed,962300,Curly-Leaf Pondweed
Unnamed,962500,Curly-Leaf Pondweed
Unnamed,962900,Curly-Leaf Pondweed
Unnamed,963000,Curly-Leaf Pondweed
Unnamed,965500,Curly-Leaf Pondweed
Unnamed,5034799,"Curly-Leaf Pondweed, Japanese Hops"
Unnamed,5035032,"Curly-Leaf Pondweed, Japanese Hops"
Unnamed,5035049,"Curly-Leaf Pondweed, Japanese Hops"
Unnamed,5035141,Japanese Hops
Unnamed,5035470,Golden Creeper
Unnamed,5035522,Golden Creeper
Unnamed,5035600,Golden Creeper
Unnamed,5035667,Golden Creeper
Unnamed,5035814,Golden Creeper
Unnamed,5035943,Golden Creeper
Unnamed,5035945,Golden Creeper
Unnamed,5035978,Golden Creeper
Unnamed,5035993,Golden Creeper
Unnamed,5036065,Golden Creeper
Unnamed,5036083,Golden Creeper
Unnamed,5036189,Golden Creeper
Unnamed,5037504,Curly-Leaf Pondweed
Unnamed,5037718,Curly-Leaf Pondweed
Unnamed,5037825,Curly-Leaf Pondweed
Unnamed,5037858,Curly-Leaf Pondweed
Unnamed,5037869,Curly-Leaf Pondweed
Unnamed,5037945,Curly-Leaf Pondweed
Unnamed,5038037,Curly-Leaf Pondweed
Unnamed,5038165,Curly-Leaf Pondweed
Unnamed,5038245,Curly-Leaf Pondweed
Unnamed,5577372,Curly-Leaf Pondweed
Unnamed,5577628,Curly-Leaf Pondweed
Wisconsin River,1179900,"Curly-Leaf Pondweed, Japanese Hops, Purple Loosestrife"
Woodman Lake,1205000,Eurasian Water-Milfoil
Green County (17),,
Allen Creek,883700,Rusty Crayfish
Beckman Lake ,894700,"Curly-Leaf Pondweed, Eurasian Water-Milfoil, Purple Loosestrife"
Decatur Lake,879400,"Asiatic Clam (Corbicula), Curly-Leaf Pondweed, Eurasian Water-Milfoil, Rusty Crayfish"
Hammerly Creek,880300,Phragmites (non-native)
Lake Montesian,881600,"Curly-Leaf Pondweed, Hybrid Eurasian / Northern Water-Milfoil, Purple Loosestrife"
Norwegian Creek,878700,Rusty Crayfish
Ok Creek,877200,Rusty Crayfish
Sawmill Creek,906000,Rusty Crayfish
Spring Creek,877000,Rusty Crayfish
Sugar River,875300,"Asiatic Clam (Corbicula), Curly-Leaf Pondweed, Rusty Crayfish, Western Mosquitofish"
Sugar River -East Channel,878400,"Asiatic Clam (Corbicula), Eurasian Water-Milfoil, Rusty Crayfish"
Unnamed,891500,Japanese knotweed (Fallopia japonica)
Unnamed,5039847,Phragmites (non-native)
Unnamed,5040775,Rusty Crayfish
Unnamed,5041290,Phragmites (non-native)
Zander Lake,894900,"Curly-Leaf Pondweed, Eurasian Water-Milfoil"
Zanders Creek,894600,Curly-Leaf Pondweed
Green Lake County (27),,
Big Twin Lake,146500,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Pennywort"
Fox River,117900,"Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil, Zebra Mussel"
Grand Lake (Millpond),161100,"Curly-Leaf Pondweed, Eurasian Water-Milfoil"
Grand River,159300,Rusty Crayfish
Green Lake,146100,"Curly-Leaf Pondweed, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil, Purple Loosestrife, Rusty Crayfish, Zebra Mussel"
Heart Lake,103700,"Curly-Leaf Pondweed, Eurasian Water-Milfoil"
Hill Creek,146200,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Lake Maria,161900,Curly-Leaf Pondweed
Little Green Lake,162500,"Curly-Leaf Pondweed, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil, Yellow Iris"
Little Twin Lake,146400,"Chinese Mystery Snail, Eurasian Water-Milfoil"
Mill Race,154400,Rusty Crayfish
Puckaway Lake,158700,"Brittle Waternymph, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil, Zebra Mussel"
Silver Creek,146800,"Curly-Leaf Pondweed, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil, Rusty Crayfish"
South Branch Rock River,869800,Rusty Crayfish
Spring Lake,148100,"Curly-Leaf Pondweed, Eurasian Water-Milfoil, Zebra Mussel"
Spring Lake,160600,Banded Mystery Snail
Unnamed,147400,Rusty Crayfish
Unnamed,148300,Curly-Leaf Pondweed
Unnamed,3000531,"Curly-Leaf Pondweed, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil"
Unnamed,5026964,Rusty Crayfish
Unnamed,5027243,Rusty Crayfish
Unnamed,5027278,Zebra Mussel
Unnamed,5561389,Rusty Crayfish
Unnamed,5562408,"Curly-Leaf Pondweed, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil"
Unnamed,5562840,Phragmites (non-native)
White Creek,146600,Rusty Crayfish
White River,148500,Eurasian Water-Milfoil
Iowa County (63),,
Avoca Lake,1220200,"Eurasian Water-Milfoil, Zebra Mussel"
Black Earth Creek,1248600,"Curly-Leaf Pondweed, Eurasian Water-Milfoil, New Zealand Mudsnail"
Blackhawk Lake,1239400,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Rusty Crayfish"
Brewery Creek,1250200,New Zealand Mudsnail
Canon Creek,904500,Rusty Crayfish
Conley Lewis Creek,911300,Rusty Crayfish
Cox Hollow Lake,1246500,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Dodge Br,910800,"Curly-Leaf Pondweed, Eurasian Water-Milfoil, Rusty Crayfish"
Duesler Creek,1243400,New Zealand Mudsnail
East Branch Pecatonica River,897800,Rusty Crayfish
Garfoot Creek,1249900,New Zealand Mudsnail
Goodwiler Lake,1219400,Curly-Leaf Pondweed
Gordon Creek,907300,Rusty Crayfish
Halfway Prairie Creek,1248800,New Zealand Mudsnail
Helen Lake,1242400,"Curly-Leaf Pondweed, Eurasian Water-Milfoil"
Irish Hollow Creek,1243200,New Zealand Mudsnail
Knudson Br,1243300,New Zealand Mudsnail
Laxey Creek,3000077,Curly-Leaf Pondweed
Ludden Lake,930700,Curly-Leaf Pondweed
Mill Creek,1242200,Chinese Mystery Snail
Mineral Point Br,927900,"Curly-Leaf Pondweed, Rusty Crayfish"
Otter Creek,1237100,Rusty Crayfish
Strutt Creek,1244500,New Zealand Mudsnail
Sudan Br,929000,"Curly-Leaf Pondweed, Rusty Crayfish"
Trout Creek,1243100,"Curly-Leaf Pondweed, New Zealand Mudsnail"
Twin Valley Lake,1245800,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil"
Unnamed,905400,Rusty Crayfish
Unnamed,1249040,New Zealand Mudsnail
Unnamed,1249100,New Zealand Mudsnail
Unnamed,1249500,New Zealand Mudsnail
Unnamed,1250100,New Zealand Mudsnail
Unnamed,5034597,New Zealand Mudsnail
Unnamed,5034727,New Zealand Mudsnail
Unnamed,5034760,New Zealand Mudsnail
Unnamed,5034819,New Zealand Mudsnail
Unnamed,5034838,New Zealand Mudsnail
Unnamed,5034940,New Zealand Mudsnail
Unnamed,5035014,New Zealand Mudsnail
Unnamed,5035045,New Zealand Mudsnail
Unnamed,5035213,New Zealand Mudsnail
Unnamed,5035219,New Zealand Mudsnail
Unnamed,5035324,New Zealand Mudsnail
Unnamed,5035492,New Zealand Mudsnail
Unnamed,5035614,New Zealand Mudsnail
Unnamed,5035627,"Eurasian Water-Milfoil, New Zealand Mudsnail"
