Waterbody Name,Waterbody ID Code (WBIC),Invasive Species
Duck Lake,2100300,"Chinese Mystery Snail, Eurasian Water-Milfoil"
Echo Lake,2630200,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil"
Elbow Lake,2463000,Purple Loosestrife
Granite Lake,2100800,"Curly-Leaf Pondweed, Purple Loosestrife"
Hemlock Lake,2109800,"Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife, Rusty Crayfish"
Horseshoe Lake,2469800,Chinese Mystery Snail
Horseshoe Lake,2630100,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil, Hybrid Eurasian / Northern Water-Milfoil, Purple Loosestrife"
Kidney Lake,2081700,Eurasian Water-Milfoil
Lake Chetek,2094000,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed"
Lake Desair,2104500,Chinese Mystery Snail
Lake Montanis,2103200,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed"
Lake Thirty,2099900,Chinese Mystery Snail
Lake of the Woods,2632100,Chinese Mystery Snail
Little Dummy Lake,1861400,Chinese Mystery Snail
Little Granite Lake,1861600,Chinese Mystery Snail
Little Moon Lake,2079100,Curly-Leaf Pondweed
Loon Lake,2478600,Chinese Mystery Snail
Lower Turtle Lake,2079700,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Lower Vermillion Lake,2098200,"Chinese Mystery Snail, Curly-Leaf Pondweed, Eurasian Water-Milfoil"
Moon Lake,1867600,Chinese Mystery Snail
Mud Lake,2094600,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed"
North Lake,2630800,Chinese Mystery Snail
Pokegama Lake,2094300,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed"
Poskin Lake,2098000,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Prairie Farm Flowage,2080000,"Chinese Mystery Snail, Curly-Leaf Pondweed"
Prairie Lake,2094100,"Banded Mystery Snail, Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife"
Red Cedar Lake,2109600,"Chinese Mystery Snail, Curly-Leaf Pondweed, Purple Loosestrife, Rusty Crayfish, Yellow Iris"
Red Cedar River,2063500,"Rusty Crayfish, Yellow Iris"
Rice Lake,2103900,"Chinese Mystery Snail, Curly-Leaf Pondweed, Hybrid Eurasian / Northern Water-Milfoil, Japanese Mystery Snail, Yellow Iris"
